Orientation Trunk AP,Orientation Thigh AP,Orientation Shank AP,Orientation Trunk ML,Orientation Thigh ML,Orientation Shank ML,Angle Hip,Angle Knee,Angle Ankle,Hyperextend Hip,Hyperextend Knee,Ang Velocity Knee,Ang Velocity Hip,Ang Velocity Ankle,STS Phase,Horiz Disp,Verti Disp,Horiz Vel,Verti Vel,Trunk Jerk - Ang,Thigh Jerk - Ang,Shank Jerk - Ang,Tri Osc,,
-7.13287,-73.04842,21.95064,7.46946,60.00000,3.29789,65.91554,51.09777,0.00000,0.00000,0.00000,0.02966,0.03106,0.03243,0.00000,0.33562,0.61434,0.00142,0.01213,0.96332,0.19589,0.29406,0.48000,,
-7.09884,-73.01852,21.91648,7.48550,60.00000,3.29727,65.91968,51.10204,0.00000,0.00000,0.00000,0.00427,0.00414,0.03417,0.00000,0.33565,0.61467,0.00301,0.03230,0.67366,0.75786,0.26991,0.49000,,
-7.05980,-73.00617,21.88411,7.50468,60.00000,3.29937,65.94638,51.12206,0.00000,0.00000,0.00000,0.02002,0.02670,0.03236,0.00000,0.33569,0.61486,0.00350,0.01945,0.47526,1.09595,0.39918,0.50000,,
-7.02218,-73.00736,21.85120,7.52636,60.00000,3.29779,65.98518,51.15616,0.00000,0.00000,0.00000,0.03410,0.03880,0.03291,0.00000,0.33571,0.61496,0.00202,0.00957,0.36298,0.64127,0.14184,0.51000,,
-6.97733,-72.99254,21.81959,7.54869,60.00000,3.29908,66.01521,51.17295,0.00000,0.00000,0.00000,0.01679,0.03002,0.03161,0.00000,0.33576,0.61517,0.00539,0.02149,0.73847,0.14782,0.32427,0.52000,,
-6.94176,-72.98458,21.81519,7.55210,60.00000,3.29030,66.04282,51.16940,0.00000,0.00000,0.00000,0.00356,0.02762,0.00440,0.00000,0.33585,0.61527,0.00894,0.00954,0.60861,0.22621,0.22389,0.53000,,
-6.87527,-72.93844,21.82670,7.50255,60.00000,3.28098,66.06317,51.11174,0.00000,0.00000,0.00000,0.05766,0.02035,0.01151,0.00000,0.33609,0.61563,0.02369,0.03609,1.18052,0.22563,0.34253,0.54000,,
-6.81306,-72.88181,21.85953,7.45060,60.00000,3.27262,66.06875,51.02228,0.00000,0.00000,0.00000,0.08946,0.00558,0.03283,0.00000,0.33637,0.61601,0.02840,0.03847,0.47923,0.01579,0.42506,0.55000,,
-6.73700,-72.82534,21.90379,7.39834,60.00000,3.26601,66.08834,50.92155,0.00000,0.00000,0.00000,0.10072,0.01959,0.04425,0.00000,0.33672,0.61638,0.03480,0.03674,1.26287,0.12253,0.20984,0.56000,,
-6.64578,-72.77572,21.93680,7.35348,60.00000,3.25618,66.12994,50.83892,0.00000,0.00000,0.00000,0.08263,0.04160,0.03301,0.00000,0.33707,0.61673,0.03565,0.03533,0.57451,0.26664,0.13685,0.57000,,
